ColoEnvPO,id,to,phone,fax,todaysdate,ship,shippingco,for,datereqd,comments,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,qty13,qty14,qty15,qty16,qty17,qty18,qty19,qty20,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,addchg1,addchg2,addchg3,addchg4,addchg5,addchg6,addchg7,addchg8,addchg9,addchg10,addchg11,addchg12,addchg13,addchg14,addchg15,addchg16,addchg17,addchg18,addchg19,addchg20,recvd1,recvd2,recvd3,recvd4,recvd5,recvd6,recvd7,recvd8,recvd9,recvd10,recvd11,recvd12,recvd13,recvd14,recvd15,recvd16,recvd17,recvd18,recvd19,recvd20,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20
26337,9976,PDG,,,2014-04-08,,,Image Quest,2014-04-09,,Negs  from the PDF provided,,Denver Water,6 1/2 x 9 1/2 Open End,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-09,,,,,,,,,,,,,,,,,,,
0,9977,"Spicers Paper, Inc",,,2014-04-08,,,inventory,2014-04-09,,,,25 x 38 #60 Recycled williamsburg,,28 x 40 #60 Recycled Williamsburg,,23 x 29 #70,,,,,,,,,,,,,,,,127500,,42500,,7500,,,,,,,,,,,,,,,,$61.80/M,,$73.13/M,,$65.77/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2014-04-09,,2014-04-09,,2014-04-09,,,,,,,,,,,,,
26333,9978,PDG,,,2014-04-08,,,Publication Printers,2014-04-09,,Negs  from the PDF provided,,Montana State University,6 1/2 Remittance,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-10,,,,,,,,,,,,,,,,,,,
26210,9979,PDG,,,2014-04-08,,,Eagle Direct,2014-04-09,,Negs  from the PDF provided,,Kaiser,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-09,,,,,,,,,,,,,,,,,,,
26315,9980,PDG,,,2014-04-09,,,Vision,2014-04-09,,Negs  from the PDF provided,,Great West Financial,#9,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-09,,,,,,,,,,,,,,,,,,,
0,10033,Best Cutting Die,,,2014-04-28,,,Die Repair/Sharpen,2014-05-02,"PLEASE SHIP BACK ON OUR UPS NUMBER NEXT DAY AIR NEED BACK BY FRIDAY MAY 2ND IF POSSIABLE.

THANKS,
JEFF",#10 High Die Repair and sharpen,,#10 booklet High die sharpen,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-05-02,,2014-05-02,,,,,,,,,,,,,,,,,
0,10034,AABBITT,8002222488,,2014-04-25,,,P&S,2014-05-01,,,P&S - 5 gallon Pail 823-18M,,,Placed order with Hazel,,,Shipped on OUR UPS #,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-05-01,,,,,,,,,,,,,,,,,,
26468,10035,XPEDX,3033752413,3033752303,2014-04-25,,,,2014-04-29,,9 x 12 booklet #28 Brown Kraft,2138909,order number 68108,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,69.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-28,,,,,,,,,,,,,,,,,,,
0,10036,"Spicers Paper, Inc",,,2014-04-28,,,inventory,2014-04-30,,,,25 x 38 #60 Recycled williamsburg,,28 X 40 #60 Recycled Williamsburg,,23 x 29 #60 Encore,,,,,,,,,,,,,,,,42500,,17000,,34000,,,,,,,,,,,,,,,,$61.80/M,,$73.13/M,,$56.37/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2014-04-30,,2014-04-30,,2014-04-30,,,,,,,,,,,,,
26500,10042,PDG,,,2014-04-29,,,CU @ Boulder,2014-04-30,,Negs  from the PDF provided,,Wardenburg Health,9 x 12 Booklet,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-05-01,,,,,,,,,,,,,,,,,,,
26173,9920,Pepperdines,,,2014-03-24,,,Coren,2014-03-25,,Poly Plates .107 thick,West Metro Ballot Env 5 3/4 x 8 3/4,,Price per Peter 3/24/14,Quote # 46395,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-25,,,,,,,,,,,,,,,,,,,
26213,9921,PDG,,,2014-03-25,,,Print/Net,2014-03-26,,Negs  from the PDF provided,,Inspiration Ministries,6 x 9,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-25,,,,,,,,,,,,,,,,,,,
26215,9922,West Print/PDG,,,2014-03-25,,,Red Rocks Community College,2014-04-02,,19 x 12 1/2 sheet Size    70# white,,,,,YOU WILL PRINT 70# WHITE WOVE YOU PROVIDE,,YOU WILL PRINT PMS COLORS 1815 & COOL GREY 8,,WE WILL SEND YOU A LAYOUT,,YOU WILL SEND A PROOF TO OK,,,YOUR QUOTE #22046,,,,,,3500,,,,,,,,,,,,,,,,,,,,$522.25/Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
26172,9923,PDG,,,2014-03-25,,,Pioneer Press,2014-03-26,,Negs  from the PDF provided,,NorthEastern,6 x 9,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-26,,,,,,,,,,,,,,,,,,,
0,9924,"Spicers Paper, Inc",,,2014-03-25,,,Inventory,2014-03-26,,25 x 38 Williamsburg 60#,,,,,,,,,,,,,,,,,,,,68000,,,,,,,,,,,,,,,,,,,,$61.80/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-26,,,,,,,,,,,,,,,,,,,
26185,9925,PDG,,,2014-03-25,,,Staples,2014-03-26,,Negs  from the PDF provided,,Public Service Credit Union,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-26,,,,,,,,,,,,,,,,,,,
26221,9926,PDG,,,2014-03-25,,,Fittjie Bros,2014-03-26,,Negs  from the PDF provided,,CitizenLink,#9,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-26,,,,,,,,,,,,,,,,,,,
0,9927,Best Cutting Die,,,2014-03-25,,,Die Repair,2014-03-27,I TALKED TO ANN I NEED THIS DIE BACK BY THURSDAY EARLY A.M. PLEASE SHIP BACK ON OUR UPS NUMBER,5 1/2 x 8 1/8 Booklet High Die,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-27,,,,,,,,,,,,,,,,,,,
0,9928,"Spicers Paper, Inc",,,2014-03-25,,,Inventory,2014-03-26,,25 x 38 Williamsburg 60#,,17 1/2  x 22 1/2 #70 Williamsburg,,,,,,,,,,,,,,,,,,34000,,7200,,,,,,,,,,,,,,,,,,$61.80/M,,$38.92/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-03-27,,2014-03-27,,,,,,,,,,,,,,,,,
0,9929,CCP Industries,,,2014-03-27,,,concrete cleaner,2014-04-04,,40lb pail ZEP Super Flash Concrete Cleaner - Powder,,,dave unger - 440 - 463 - 3840,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,85.95/per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-01,,,,,,,,,,,,,,,,,,,
26242,9930,XPEDX,7209047145,,2014-03-27,,,Eagle Direct,2014-03-28,,10 x 13 Booklet #28 ww,,,Placed order with Steve,,,,,,,,,,,,,,,,,8500,,,,,,,,,,,,,,,,,,,,$65.35/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-28,,,,,,,,,,,,,,,,,,,
26235,9931,Pepperdines,,,2014-03-27,,,Honeyman,2014-03-31,,Poly Plates .107 thick,Northglenn address #10,,Poly Plates .107 thick,Return #9,,Poly Plates .107 thick,#10 statement env,,,,,,,,,,,,,2,,,2,,,2,,,,,,,,,,,,,,16,,,37,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,Complete,,,,,,,,,,,,,,2014-03-28,,,2014-03-28,,,2014-03-28,,,,,,,,,,,,,
26239,9932,Best Cutting Die,8476755522,,2014-03-27,2nd day,UPS,COLORADO ENVELOPE,2014-04-04,,4 7/8 x 6 13/16    OSDS barional,drill & Tap PHP,Extra Hard,"Stamp ""Outreach""",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
0,9933,H&S Supply,3032988555,3032988557,2014-03-27,,,latex,2014-04-10,,Recover latex roller with urathlane,,Stan picked up - 303-507-5834,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,144.00/total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26227,9934,PDG,,,2014-03-27,,,Boss,2014-03-28,,Negs  from the PDF provided,,Icat,9 x 12 Booklet,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
25626,9935,Lewis Paper-Vendor,3035739444,,2014-03-27,,,Honeyman,2014-03-31,,#10 std window Brown kraft,9006DNW,,,Placed order with Todd,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,24.17/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26242,9936,PDG,,,2014-03-28,,,Eagle,2014-03-31,,Negs  from the PDF provided,,Secrecy Sleeve Ballot Env,10 x 13 Booklet,,Thanks,JR,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
26243,9937,PDG,,,2014-03-28,,,Eagle,2014-03-31,,Negs  from the PDF provided,,Outer Ballot Envelope,6 x 9 1/4 Booklet,,Thanks,JR,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,$52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
0,9938,NPC,3032885775,,2014-03-28,,,Inventory,2014-03-31,,IPG 6100 48mmx 100m - 36 per case,,cases ECO Green Hand Film 16 inch - 1500 per roll,,,,,Placed order with,,Customer #102949,,,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,$41.80/Case,,$25.27/case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-03-28,,,,,,,,,,,,,,,,,,,
,9939,"Mult Plastics, Inc.",8008486982,,2014-03-28,,,Inventory,2014-04-04,,skid 5 1/4 window film .115  guage 18 od,,,,,,Skid  8 3/4 window film .150 guage 13 od,,,placed order with Beth,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,2.43/lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,Complete,,,,,,,,,,,,,,2014-04-04,,,,,,2014-04-04,,,,,,,,,,,,,
0,9940,Best Cutting Die,,,2014-03-28,,,Die Sharpen,2014-04-01,"Please ship back next day air on our UPS accout.

Thanks,
Jeff",Zip Tab panel Die to sharpen,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-01,,,,,,,,,,,,,,,,,,,
0,9941,XPEDX,3033752429,3033752303,2014-03-28,,,Jets,2014-03-31,,cases of Steel Brand Silicon  12 per case #2256010,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,34.33/case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
26257,9942,PDG,,,2014-03-29,,,Biz Card Xpress,2014-03-31,,Negs  from the PDF provided,,SecureComm,#10,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-31,,,,,,,,,,,,,,,,,,,
0,9953,envelope equipment exchange,8143177702,,2014-04-01,Ground,,RA-600 #2,2014-04-23,Placed order with Patty,,,RA-30064 - Anvil for Window section,2-3 weeks out,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-05-05,,,,,,,,,,,,,,,,,
26282,9954,PDG,,,2014-04-01,,,American Water Works,2014-04-02,,Negs  from the PDF provided,,American Water Works,6 x 9 1/2,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-02,,,,,,,,,,,,,,,,,,,
26242,9955,PDG,,,2014-04-01,,,Eagle Direct,2014-04-02,,Negs  from the PDF provided,,Secrecy Sleeve,10 x 13,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-02,,,,,,,,,,,,,,,,,,,
0,9956,Western Belting Co.,3033223500,,2014-04-02,,,RA-2,2014-04-11,,Matched Precission bearring window section,Part# 7007C5GLFGP4U00,,Bearing - sealed both sides 60052RS - koyo,Ordered with Scott,,,,,,,,,,,,,,,,8,,,6,,,,,,,,,,,,,,,,,167.25/each,,,12.09/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,,,,,,,,,,,,,,,2014-04-14,,,2014-04-14,,,,,,,,,,,,,,,,
0,9957,"Spicers Paper, Inc",,,2014-04-03,,,inventory,2014-04-04,,,,25 x 38 #60 Recycled williamsburg,,,,,,,,,,,,,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,$61.80/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,
0,9958,XPEDX,3033752413,3033752303,2014-04-03,,,Jets,2014-04-04,,9 x 12 Catalog #28 ww,,9 x 12 catalog #24,,10 x 13 catalog #28 P&S,,,,,,,,,,,,,,,,6m,,1.5m,,1m,,,,,,,,,,,,,,,,$49.73/m,,$47.23/m,,$89.00/m,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2014-04-04,,2014-04-04,,2014-04-04,,,,,,,,,,,,,,,
26295,9959,PDG,,,2014-04-03,,,I3Logix,2014-04-04,,Negs  from the PDF provided,,The Scout Guide,9 x 12 OE,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
26310,9960,PDG,,,2014-04-03,,,Good Sam,2014-04-04,,Negs  from the PDF provided,,Good Sam,#10,,Thanks,JR,,3 Color Job,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
0,9961,XPEDX,3033752413,3033752303,2014-04-03,,,Jets,2014-04-04,,,,Boxes = 100 plates 9 15/16 x 12 1/4,Item Number 6137183,,Boxes = 100 Plates 12 1/4 x 19 7/16,Item number 6025131,,Macdermid T100's Blankets 2293750,,,,,,,,,,,,,,2,,,2,,,24,,,,,,,,,,,,,,$54.50/box,,,$106.50/Box,,,27.33/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,Complete,,,,,,,,,,,,,,2014-04-04,,,2014-04-04,,,2014-04-04,,,,,,,,,,,
0,9962,Paper Converting,8146955521,8146963676,2014-04-03,Ground,,SO,2014-04-24,"Please Fax back with pricing to 303 439 0588

thanks

Don",SO part number OS-12400-2 Link with mount for rod,Minimum of 20 for an order,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,21.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-29,,,,,,,,,,,,,,,,,,,
26314,9963,PDG,,,2014-04-04,,,CU Boulder,2014-04-07,,Negs  from the PDF provided,,CU Boulder,#9,,Thanks,JR,,3 Color Job,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
26309,9964,PDG,,,2014-04-04,,,APG,2014-04-07,,Negs  from the PDF provided,,Metrum Community Credit Union,#10,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
26294,9965,PDG,,,2014-04-04,,,Good Sam,2014-04-07,,Negs  from the PDF provided,,Good Sam,#9,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-04,,,,,,,,,,,,,,,,,,,
0,9966,Best Cutting Die,,,2014-04-04,,,Window Die's RA# 3,2014-04-07,,1 1/8 x 4 RA Flex Dies,,1 1/4 x 4 1/8 RA Flex Dies,,1 1/8 x 4 1/2 RA Flex Dies,,1 1/8 x 3 5/8 RA Flex,,1 1/8 x 3 3/4 RA Flex,,1 1/4 x 3 1/2 RA Flex,,,,,,,,,,3,,3,,5,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,Complete,,Complete,,Complete,,,,,,,,,,2014-04-07,,2014-04-07,,2014-04-07,,2014-04-07,,2014-04-07,,2014-04-07,,,,,,,,,
26312,9967,Pepperdines,,,2014-04-04,,,1touch-ziptek,2014-04-07,,Poly Plates .107 thick,Colorado Health,6 x 9 1/2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-07,,,,,,,,,,,,,,,,,,,
26319,9968,PDG,,,2014-04-04,,,PostNet,2014-04-07,,Negs  from the PDF provided,,Oxford Club Salon & Spa,#9,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-07,,,,,,,,,,,,,,,,,,,
26323,9969,PDG,,,2014-04-04,,,PrintNet,2014-04-07,,Negs  from the PDF provided,,Insperation Ministries,4 x 8 1/2,,Thanks,JR,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-07,,,,,,,,,,,,,,,,,,,
26296,9970,PDG,,,2014-04-07,,,APG,2014-04-08,,Negs  from the PDF provided,,Amarillo Double Window,#10,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-07,,,,,,,,,,,,,,,,,,,
0,9971,Western Belting Co.,3033223500,,2014-04-07,,,WR/MO,2014-04-16,,Part Number #AA521-11,,,,Ordered with Greg Bussy,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,.74/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-14,,,,,,,,,,,,,,,,,,,
,9972,Unicast Inc.,8002750818,,2014-04-07,Ground,UPS,RA/WR,2014-04-14,,Part #15-1248N - Panel Cutter Segment 42 Degree,Extra holes,Part #15-1248D - Panel Cutter Segment 93 Degree,Extra holes,Part #15-1248E - Panel Cutter Segment 103 Degree,Extra holes,10-1129 Feed Rolls,10-1130 Feed Rolls,,10-1312B - Roll,,Recover latex roller,,,,,,,,,1,,1,,1,,4,4,,4,,1,,,,,,,,,,,,,,,18.75/each,18.75/each,,11.83/each,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,Complete,Complete,,Complete,,Complete,,,,,,,,,2014-04-21,,2014-04-21,,2014-04-21,,2014-04-21,2014-04-21,,2014-04-21,,2014-04-21,,,,,,,,
26308,9973,PDG,,,2014-04-07,,,Good Sam,2014-04-08,,Negs  from the PDF provided,,Good Sam,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-08,,,,,,,,,,,,,,,,,,,
26261,9974,Tharco,8005251831,8003621124,2014-04-07,,,Boxes,2014-04-08,"

Thanks  Don",R-350  10 x 10 x 7,,,,,,,,,,,,,thanks,Don,,,,,,100,,,,,,,,,,,,,,,,,,,,67.38/total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-09,,,,,,,,,,,,,,,,,,,
26321,9986,QCD Inc.,3037441146,,2014-04-09,,,White Envelope,2014-04-15,,#10 Notchback banker envelope,,RUN ALL STOCK PROVIDED PLEASE,,Please apply Latex seal,,,,,,,"Thanks,",Jeff,,,,,,,,41000,Run All,,,,,,,,,,,,,,,,,,,$15.30/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-15,,,,,,,,,,,,,,,,,,,
0,9987,"Spicers Paper, Inc",,,2014-04-09,,,inventory,2014-04-10,,,,25 x 38 #70 Recycled williamsburg,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,$93.95/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-10,,,,,,,,,,,,,,,,,
,9988,XPEDX,3033752413,,2014-04-09,,,Pip Printing,2014-04-10,,23 x 35 Cougar Natural  Smooth #70,,25 x 38 Cougar Natural Smooth #70,,,,,,,,,,,,,,,,,,900,,1050,,,,,,,,,,,,,,,,,,141.38/m,,166.22/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-04-10,,2014-04-10,,,,,,,,,,,,,,,,,
,9989,XPEDX,3033752413,,2014-04-10,,,Inventory,2014-04-17,,9 x 12 Catalog #24 ww,,9 x 12 catalog #28 ww,,,,,,,,,,,,,,,,,,27000,,27000,,,,,,,,,,,,,,,,,,$42.19/m,,$43.66/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2014-04-14,,2014-04-14,,,,,,,,,,,,,,,,,
26104,9990,PDG,,,2014-04-10,,,OutReach,2014-04-11,,Negs  from the PDF provided,,Mops,9 1/2 x 12 1/2,,Thanks,JR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-11,,,,,,,,,,,,,,,,,,,
26340,9991,Rush Envelope,,,2014-04-14,,,Family Tree Corp,2014-04-21,,#10 Standard window print 4/0 we supply envelopes,,Exact repeat of our PO# 9792,,,,,,,,,,,,,,,,,,90000,,,,,,,,,,,,,,,,,,,,$1200.00/Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-04-22,,,,,,,,,,,,,,,,,,,
